name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Internet Protocol Security (IPSec),,https://datatracker.ietf.org/wg/ipsec/about/,logos/112787bc179a95d5d564c4035d271e38d5cd72fe180b85d27c4b1c5d92dc1f29.png,,,,,graduated,"ikev,netzwerk,sicherheit",,,"IPSec ist eine Protokoll-Suite, die Sicherheitsdienste für IP-basierte Netzwerkkommunikation bereitstellt. Es bietet Authentifizierung, Integrität und Vertraulichkeit auf der Netzwerkebene (Layer 3) des OSI-Modells. IPSec wird hauptsächlich für VPN-Verbindungen, sichere Site-to-Site-Kommunikation und End-to-End-Verschlüsselung verwendet.",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1992-11-25,1995-08-01,2005-12-01,,,,,,,,2025-11-11,https://tools.ietf.org/html/rfc4835
Internet Protocol Version 6 (IPv6),,https://datatracker.ietf.org/doc/html/rfc8200,logos/21b7563f64f3a746941a5f0f290b7ccfe1021f0a9c3a7eb737bc7d5a10daaae0.png,,,,,graduated,"adresse,internet",,,IPv6 dient der Adressierung in der Vermittlung. IP selbst stellt keine Verbindung her.,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1995-12-01,1998-12-01,2017-07-01,,,,,,,,,
iOS,,https://www.apple.com/de/os/ios/,https://commons.wikimedia.org/wiki/Special:FilePath/IOS_2020_wordmark_black.svg,,,,,graduated,"mobil,app,betriebssystem",,,iOS ist das Betriebssystem für die Arbeit auf mobilen Endgeräten von Apple. ,,,,,,,,,,,, Zugang, Native Apps,true,,,,,,,,,,,,2007-06-29,2007-06-29,2025-09-29,,,,,,,,,
Istio,,https://istio.io/,https://istio.io/latest/img/icons/istio.svg,,,,,graduated,"load-balancer,orchestrierung,mesh",,,"Istio ist ein Open-Source Service Mesh zum Management von Microservices in containerisierten Umgebungen. Es erleichtert das Sichern, Verbinden und Überwachen verteilter Anwendungen, indem es Funktionen wie Lastenausgleich, Authentifizierung, Autorisierung, Traffic-Steuerung und detaillierte Einblicke in die Kommunikation zwischen Diensten bereitstellt. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2017-05-10,2017-05-10,2025-09-03,,,,,,,,2025-11-11,https://github.com/istio/istio
Java,,https://www.oracle.com/java/,https://commons.wikimedia.org/wiki/Special:FilePath/Java_programming_language_logo.svg,,,,,graduated,"programmierung,plattformunabhaengig,sprache",,,Java dient der plattformunabhängige Softwareentwicklung . Der Quellcode wird kompiliert und als Ergebnis im Java Runtime Environment ausgeführt. ,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1991-01-01,1996-01-23,2025-09-16,,,,,,,,,
JavaScript (ECMA Script),,https://ecma-international.org/publications-and-standards/standards/ecma-262/,https://commons.wikimedia.org/wiki/Special:FilePath/Unofficial_JavaScript_logo_2.svg,,,,,graduated,"programmierung,sprache",,,JavaScript wird primär für die Entwicklung von dynamischen Webseiten verwendet. ,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1995-09-18,1996-03-01,2025-06-01,,,,,,,,2025-11-11,https://www.iso.org/standard/73002.html
JavaScript Object Notation (JSON),,https://datatracker.ietf.org/doc/html/rfc8259,https://commons.wikimedia.org/wiki/Special:FilePath/JSON_logo_4.svg,,,,,graduated,datenformat,,,JSON ist ein Datenformat für den Datenaustausch.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2001-04-01,2006-07-01,2017-12-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc4627
Jenkins,,https://www.jenkins.io/,https://commons.wikimedia.org/wiki/Special:FilePath/Jenkins_logo.svg,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,"Jenkins ist ein Open-Source-Automatisierungsserver, der für die kontinuierliche Integration (CI) und kontinuierliche Bereitstellung (CD) von Software verwendet wird.",,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2011-01-01,2019-07-21,2025-09-23,,,,,,,,2025-11-11,https://github.com/jenkinsci/jenkins
Joget,,https://www.joget.org/,https://raw.githubusercontent.com/jogetworkflow/jw-community/master/wflow-consoleweb/src/main/webapp/images/joget-logo.png,,,,,graduated,"plugins,no-code-low-code,ai,workflow,java",,,"Joget beschleunigt die Entwicklung und Automatisierung von Enterprise-Anwendungen mit visuellem Builder, Governance-Funktionen und neuen AI-Fähigkeiten in DX 9.",,,,,,,,,,,, Plattform, LowCode,true,,,,,,,,,,,,2011-01-01,2011-01-01,2025-09-09,,,,,,,,2025-11-11,https://joget.com/joget-earns-govstack-software-requirements-compliance-helping-governments-fast-track-digital-transformation/
JSON Web Tokens (JWT),,https://datatracker.ietf.org/doc/html/rfc7519,logos/4fbe038b25e4711e828d29229f2e5a06f44212da7d3d009be2c8b962f1faaf9b.png,,,,,graduated,"authentifizierungm-autorisierung,token,json",,,"Ermöglicht sichere Übertragung von strukturierten Informationen zwischen Parteien als selbstverifizierende JSON-Objekte. Fungiert als kompakter, URL-sicherer Token-Standard für Authentifizierung, Autorisierung und sichere Datenübertragung ohne zentrale Session-Speicherung.",,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,2010-01-01,2012-05-01,2015-05-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc8725
Kerberos,,https://datatracker.ietf.org/doc/html/rfc4120,https://commons.wikimedia.org/wiki/Special:FilePath/Kerberos_(protocol)_Logo.svg,,,,,graduated,"authentifizierung,token,zugriff,autorisierung",,,Ermöglicht sichere Netzwerk-Authentifizierung durch ein Ticket-basiertes System ohne Übertragung von Passwörtern über das Netzwerk. Fungiert als vertrauenswürdiger Drittanbieter (Key Distribution Center) für Single Sign-On in Enterprise-Umgebungen und stellt mutual Authentication zwischen Clients und Services sicher.,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,1989-01-24,1989-01-24,2005-07-01,,,,,,,,2025-11-11,https://web.mit.edu/kerberos/
Kong,,https://konghq.com/,https://konghq.com/wp-content/uploads/2018/08/kong-combination-mark-color-256px.png,,,,,graduated,"gateway,orchestrierung,schnittstelle",,,"Kong ist eine API-Management-Plattform für Microservices und Zugriffe auf Backend-Services. Es fungiert als Middleware. Kong ist eine Open-Source-Lösung, die auf NGINX basiert und für ihre Skalierbarkeit und Sicherheit bekannt ist. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2015-06-05,2015-06-05,2025-06-04,,,,,,,,2025-11-11,https://github.com/Kong/kong
Kubernetes,,https://kubernetes.io,https://commons.wikimedia.org/wiki/Special:FilePath/Kubernetes_logo_without_workmark.svg,,,,,graduated,"orchestrierung,container",,,"Kubernetes ist eine Open-Source-Plattform zur Automatisierung der Bereitstellung, Skalierung und Verwaltung containerisierter Anwendungen. Das System orchestriert Container-Workloads über Cluster von Maschinen hinweg und bietet dabei umfangreiche APIs für Netzwerk-, Speicher- und Runtime-Integrationen. Kubernetes ist zum de-facto Standard für Container-Orchestrierung geworden und bildet das Fundament moderner Cloud-Native-Architekturen.",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2014-10-15,2014-10-15,2025-09-10,,,,,,,,2025-11-11,https://kubernetes.io/docs/home/
LangGraph,,https://www.langchain.com/langgraph,https://raw.githubusercontent.com/langchain-ai/langgraph/main/docs/static/img/langgraph_logo.png,,,,,graduated,"ki,agent",,,"LangGraph ist ein low-level Orchestrierungs-Framework für den Aufbau, die Verwaltung und das Deployment von langlebigen, zustandsbehafteten AI-Agenten und Multi-Agent-Workflows. Das Framework nutzt eine graph-basierte Architektur zur Modellierung komplexer Agent-Interaktionen, wobei Knoten (Nodes) die Agent-Logik enthalten und Kanten (Edges) den Kontrollfluss zwischen ihnen definieren. LangGraph ermöglicht sowohl vordefinierte Workflows als auch dynamische Agenten-Systeme mit Human-in-the-Loop-Funktionalitäten.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2023-08-09,2024-06-19,2025-09-07,,,,,,,,2025-11-11,https://langchain-ai.github.io/langgraphjs/tutorials/quickstart/
MariaDB,,https://mariadb.org/,https://commons.wikimedia.org/wiki/Special:FilePath/MariaDB_Logo.svg,,,,,graduated,"datenbank,sql,relational",,,MariaDB ist ein relationales Datenbankmanagementsystem für die Organisation von strukturierten Daten in Tabellen. ,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2009-10-29,2009-10-29,2025-08-07,,,,,,,,2025-11-11,https://mariadb.org/documentation/
Markdown (MD),,https://datatracker.ietf.org/doc/html/rfc7763,https://commons.wikimedia.org/wiki/Special:FilePath/Markdown-mark.svg,,,,,graduated,datenformat,,,MD ist ein Datenformat für den Datenaustausch. ,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2004-03-19,2004-03-19,2016-03-01,,,,,,,,2025-11-11,https://daringfireball.net/projects/markdown/
Media Access Control (MAC),,https://datatracker.ietf.org/doc/rfc9724/,logos/72783e60cc7c2a13d10f9641b0fd71c418a0da3ed4cc7a2b8b2776cd0e3bdc0f.png,,,,,graduated,"identifier,uuid,adresse,guid,oui",,,"MAC ist eine Unterschicht der Sicherungsschicht (Layer 2) im OSI-Modell, die den Zugriff auf das Übertragungsmedium in Netzwerken regelt. MAC-Protokolle koordinieren, wie mehrere Geräte gemeinsam auf ein geteiltes Kommunikationsmedium zugreifen können, ohne sich gegenseitig zu stören. Jedes Netzwerkgerät erhält eine eindeutige MAC-Adresse zur Identifikation im lokalen Netzwerksegment.",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1980-03-13,1982-11-01,2025-03-17,,,,,,,,2025-11-11,https://tools.ietf.org/rfc/rfc826.txt
Messaging Layer Security (MLS),,https://messaginglayersecurity.rocks/,logos/fb9d69c166a7fc2fe3b922d86529fc6083df76988c1cf13a29f3c7119c87f43e.png,,,,,graduated,"sicherheit,kurznachricht,datenuebertragung",,,MLS dient der Ende-zu-Ende-Verschlüsselung von Nachrichten in kleinen und großen Gruppen.,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,2016-01-01,2016-01-01,2025-04-22,,,,,,,,2025-11-11,https://github.com/mlswg/mls-protocol
Milvus,,https://milvus.io/de,https://milvus.io/images/milvus_log.svg,,,,,graduated,"datenbank,vektor",,,Milvus ist eine Vektor-Datenbank.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2019-10-21,2019-10-21,2025-10-10,,,,,,,,2025-11-11,https://milvus.io/docs/de
MLflow,,https://mlflow.org/,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/source/_static/MLflow-logo-final-black.png,,,,,graduated,"machine-learning,verarbeitung",,,"MLflow ist eine Open-Source-Plattform für das Management des gesamten Machine Learning-Lifecycles, die von Databricks entwickelt wurde und Experiment-Tracking, Modellverpackung, Deployment und eine zentrale Modellregistrierung vereint. Die Plattform ermöglicht es Data Scientists und ML-Engineers, Experimente zu verfolgen, Parameter und Metriken zu protokollieren, Modelle zu versionieren und sie konsistent über verschiedene Umgebungen hinweg zu deployen. MLflow unterstützt alle gängigen ML-Frameworks und Sprachen (Python, R, Java) sowie GenAI-Anwendungen mit LLM-Tracing und Prompt-Management.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2018-06-27,2018-06-27,2025-09-17,,,,,,,,2025-11-11,https://mlflow.org/docs/latest/
Mobilfunk,,https://www.3gpp.org/,logos/cbfb6ebae1d407076fba1a87a9df7982a3153736bd34c841674408cd828e7f01.png,,,,,graduated,"lte,funk,zelle,drahtlos",,,Der Mobilfunk wird zum Vernetzen von Mobilfunkgeräte (Smartphones) genutzt und erfolgt über die Verbindung zu Basisstationen zwecks weiterer Verteilung. Die Verbindung zum Netzwerk-Betreiber erfolgt über das Subscriber Identity Module (SIM).,,,,,,,,,,,, Infrastruktur, Anschluss,true,,,,,,,,,,,,1998-12-04,1999-10-13,2025-04-03,,,,,,,,2025-11-11,https://www.3gpp.org/specifications-technologies
Model Context Protocol (MCP),,https://modelcontextprotocol.io/,https://raw.githubusercontent.com/modelcontextprotocol/modelcontextprotocol/main/docs/assets/mcp-logo.svg,,,,,graduated,"agent,agentische-ki,kontext",,,"MCP ist ein offenes Protokoll, welches standardisiert wie Anwendungen Kontextinformationen an große Sprachmodelle liefert. MCP liefert einen standardisierten Weg um KI Modelle mit verschiedenen Datenquellen und -werkzeugen zu verbinden. MCP ermöglicht Agenten und komplexe Workflows auf Basis von großen Sprachmodellen zu bauen.  ",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2024-09-24,2024-10-07,2025-06-18,,,,,,,,2025-11-11,https://modelcontextprotocol.io/specification/2025-06-18
Module Lattice Based Key Encapsulation Mechanism,,https://csrc.nist.gov/pubs/fips/203/final,logos/6319704d8728301e2d2688e9496132ecafe49b4dea802765685fcffcb6f8f473.png,,,,,graduated,"schluessel,kryptografie,post-quanten-kryptografie,verschluesselung",,,ML-KEM unterstützt bei der Generierung eines Schlüssels für symmetrische Verschlüsselungsverfahren. ML-KEM ist ein Post-Quanten-Algorithmus. ,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,2016-12-20,2022-07-01,2024-08-13,,,,,,,,2025-11-11,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Publikationen/TechnischeRichtlinien/TR02102/BSI-TR-02102.pdf?__blob=publicationFile
MongoDB,,https://www.mongodb.com/,https://commons.wikimedia.org/wiki/Special:FilePath/MongoDB_Logo.svg,,,,,graduated,"nosql,datenbank,dokumentenbasiert",,,MongoDB ist eine dokumentenorientierte NoSQL-Datenbank.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2007-10-01,2009-02-01,2025-09-30,,,,,,,,2025-11-11,https://github.com/mongodb
Multiprotocol Label Switching (MPLS),,https://datatracker.ietf.org/wg/mpls/documents/,logos/74f7fa4c7fe4c4340988d4837942239338e16c5370099beac695f498e74d1842.png,,,,,graduated,"netzwerk,weitverkehr",,,MPLS dient der Übertragung von Datenpaketen in einem verbindungslosen Netz. Das Verfahren zur Verteilung wird in großen Netzwerken eingesetzt.,,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,2001-01-01,2001-01-01,2014-04-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc6790
MySQL Server,,https://www.mysql.com/,https://commons.wikimedia.org/wiki/Special:FilePath/MySQL_logo.svg,,,,,graduated,"datenbank,sql,relational",,,MySQL ist ein relationales Datenbankmanagementsystem für die Organisation von strukturierten Daten in Tabellen. ,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,1994-01-01,1995-05-01,2025-07-22,,,,,,,,2025-11-11,https://dev.mysql.com/doc/
n8n,,https://www.n8n.io,https://raw.githubusercontent.com/n8n-io/n8n/master/packages/design-system/src/assets/images/n8n-logo.svg,,,,,graduated,"automatisierung,open-source,no-code,api,integration",,,"n8n ist eine flexible Automatisierungsplattform mit 400+ Integrationen, die visuelles Bauen und Code kombiniert und Self-Hosting erlaubt.",,,,,,,,,,,, Plattform, LowCode,true,,,,,,,,,,,,2019-06-21,2019-06-21,2025-09-08,,,,,,,,2025-11-11,https://docs.n8n.io/
Neo4J,,https://neo4j.com/,https://dist.neo4j.com/wp-content/uploads/20230926084108/Logo_FullColor_RGB_TransBG.svg,,,,,graduated,"nosql,datenbank,graph",,,Neo4j ist eine Graphdatenbank.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2010-02-01,2010-02-01,2025-09-29,,,,,,,,2025-11-11,https://neo4j.com/docs/
NextJS,,https://nextjs.org/,https://commons.wikimedia.org/wiki/Special:FilePath/Nextjs-logo.svg,,,,,graduated,"rendering,user-interface",,,Next.js ist ein React-Framework zum Erstellen von Full-Stack-Webanwendungen. Sie verwenden React-Komponenten zum Erstellen von Benutzeroberflächen und Next.js für zusätzliche Funktionen und Optimierungen.,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2016-10-25,2016-10-25,2025-09-11,,,,,,,,2025-11-11,https://nextjs.org/docs
NGINX,,https://nginx.org/,https://commons.wikimedia.org/wiki/Special:FilePath/Nginx_logo.svg,,,,,graduated,"proxy,load-balancer,gateway,orchestrierung",,,"NGINX ein Open-Source-Webserver der auch als Reverse-Proxy, HTTP-Cache und Load-Balancer eingesetzt wird. Er ist bekannt für seine hohe Leistung bei der Verarbeitung vieler gleichzeitiger Anfragen, seine Effizienz bei geringer Speichernutzung und seine Flexibilität. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2004-01-01,2011-04-12,2025-08-13,,,,,,,,2025-11-11,https://nginx.org/en/docs/index.html
Node-RED,,https://nodered.org/,https://nodered.org/images/node-red-icon.svg,,,,,graduated,"no-code,javascript,low-code",,,"Node-RED ist eine Open-Source-Software, die es ermöglicht, visuell Programmierflüsse zu erstellen. Diese Software wird häufig im Bereich der Internet der Dinge (IoT) und zur Automatisierung von Prozessen eingesetzt.",,,,,,,,,,,, Plattform, LowCode,true,,,,,,,,,,,,2013-10-16,2013-10-16,2025-07-29,,,,,,,,2025-11-11,https://nodered.org/docs/developing-flows/
Nomad,,https://developer.hashicorp.com/nomad,https://www.datocms-assets.com/2885/1620155116-brandhcnomadprimaryattributedcolor.svg,,,,,graduated,"orchestrierung,container",,,"Nomad ist ein Open-Source-System zur Orchestrierung von Anwendungen und deren Workloads auf hybriden Umgebungen. Es ist eine flexible Lösung, die für ihre Einfachheit und Benutzerfreundlichkeit bekannt ist, da sie eine einzelne Binärdatei zur Installation und Konfiguration bietet. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2019-08-22,2019-08-22,2025-09-19,,,,,,,,2025-11-11,https://developer.hashicorp.com/nomad/docs
NQdrant,,https://qdrant.tech/,https://qdrant.tech/images/qdrant-logo.svg,,,,,graduated,"datenbank,container,vektor",,,Qdrant ist eine container-basierte Vektor-Datenbank mit integrierter Ähnlichkeitssuche.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2021-04-06,2021-04-06,2025-09-30,,,,,,,,2025-11-11,https://github.com/qdrant/qdrant
One-Time Password (OTP),,https://datatracker.ietf.org/doc/html/rfc6238,logos/fcf785b27fa6f780b9c310f925aa0a0339cd046fd5a56946fcaa1b4c22f8cc4d.png,,,,,graduated,"mfa,fa,multi-faktor,passwort,zugriff",,,"OTP liefert ein temporäres automatisch generiertes Passwort zur Identifikation eines Nutzer für eine einzelne Transaktion oder Sitzung. Das temporäre Passwort kann über verschiedenen Kanäle ausgebracht werden (SMS, App, Mail).",,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,1998-02-01,1998-02-01,2011-05-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc2289
Open Archives Initiative Protocol for Metadata Harvesting,,https://www.openarchives.org/pmh/,logos/69c4c9294115b38af57a5062c178fe8a57bd2ed109bd909e38a43a7d8a469701.png,,,,,graduated,"datenkatalog,metadaten",,,OAI-PMH ist ein leichtgewichtiges Protokoll für Metadaten.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2001-07-02,2001-07-02,2015-01-08,,,,,,,,,
Open Authorization (OAuth),,https://oauth.net/2/,https://commons.wikimedia.org/wiki/Special:FilePath/Oauth_logo.svg,,,,,graduated,"protokoll,zugriff,autorisierung",,,Ermöglicht sichere Autorisierung und delegierten Zugriff auf Ressourcen ohne Preisgabe von Benutzeranmeldedaten. Fungiert als standardisiertes Framework für die Berechtigung von Drittanbieter-Anwendungen zum Zugriff auf geschützte APIs und Benutzerdaten.,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,2006-11-01,2007-10-01,2012-10-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc6750
Open ID Connect (OIDC),,https://openid.net/developers/how-connect-works/,logos/075ec15d5eb524650a5b0cde0219729da0fefa27f6b66f107df935a646cace03.png,,,,,graduated,"authentifizierung,protokoll,zugriff",,,"OIDC erweitert OAuth 2.0 um standardisierte Authentifizierung und Identitätsverwaltung durch ID Tokens, ermöglicht einheitliche Benutzeranmeldung über verschiedene Anwendungen hinweg und stellt strukturierte Identitätsinformationen in einem interoperablen Format bereit.",,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,2014-02-26,2014-02-26,2023-12-15,,,,,,,,2025-11-11,https://openid.net/specs/openid-connect-core-1_0.html#:~:text=Final:%20OpenID%20Connect%20Core%201.0%20incorporating%20errata%20set%202
Open Internet Exchange Point (IXP OIX-1),,https://www.oix.org/standards-and-certifications/ixp-oix-1-certification/,logos/9e0b5cc1273842618ccafdedb54a52ba291dad51d8f38805602847d6eab1bace.png,,,,,graduated,"netz,netzwerk,internet-exchange-point,ixp",,,"IXP OIX-1 ist eine Zertifizierung für Internet-Knotenpunkte (IXPs) für die Sicherstellung verschiedener Standards zu Leistungsfähigkeit, Verfügbarkeit, Ausfallsicherheit und Datensicherheit. Ein IXP verbindet Internetdienstanbieter (ISPs) und Content-Netzwerke (CDNs) um den Datenverkehr zu optimieren.",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,2018-11-07,2018-11-07,2025-06-16,,,,,,,,2025-11-11,https://www.oix.org/
Open Neural Network Exchange,,https://onnx.ai/,https://onnx.ai/images/ONNX-Logo.svg,,,,,graduated,"machine-learning,neuronale-netze,verarbeitung,ml",,,"ONNX ist ein offener Standard zur Darstellung von Machine Learning-Modellen, der die Interoperabilität zwischen verschiedenen AI-Frameworks ermöglicht. Der Standard definiert ein erweiterbares Berechnungsmodell sowie Standard-Datentypen und Operatoren, wodurch Modelle zwischen Frameworks wie PyTorch, TensorFlow, scikit-learn und anderen portiert werden können. ONNX fungiert als universelle ""Sprache"" für neuronale Netzwerke und eliminiert die Notwendigkeit komplexer Konvertierungs-Pipelines zwischen verschiedenen ML-Ökosystemen.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2017-10-10,2017-10-10,2025-08-26,,,,,,,,2025-11-11,https://github.com/onnx/onnx
Open Shortest Path First (OSPF),,https://datatracker.ietf.org/wg/ospf/about/,logos/9c179e212c97be975203a6140d863bc9ed0181f4267f77e6f1ea6afe160c68c1.png,,,,,graduated,"netzwerk,routing",,,"OSPF ist ein Link-State-Routing-Protokoll, das in IP-Netzwerken zur automatischen Berechnung der optimalen Routen zwischen Netzwerkknoten verwendet wird. Es ermöglicht Routern, dynamisch die kürzesten Pfade durch ein Netzwerk zu finden und sich automatisch an Netzwerkänderungen anzupassen. OSPF arbeitet hierarchisch mit Areas und eignet sich besonders für große Unternehmensnetzwerke.",,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,1988-01-01,1991-07-01,2018-04-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc8362
OpenAPI,,https://www.openapis.org/,https://commons.wikimedia.org/wiki/Special:FilePath/OpenAPI_Logo_Pantone.svg,,,,,graduated,"rest,api,schnittstelle,rpc",,,"OpenAPI ist eine herstellerunabhängige Spezifikation zur Beschreibung von RESTful APIs. Sie ermöglicht eine standardisierte, maschinen- und menschenlesbare Beschreibung von Schnittstellen (inklusive Endpunkte, Operationen, Datenstrukturen). Die Spezifikation entstand aus dem früheren Projekt Swagger und wird heute unter der Schirmherrschaft der OpenAPI-Initiative weiterentwickelt. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2016-01-01,2017-03-01,2025-09-19,,,,,,,,2025-11-11,https://github.com/OAI/OpenAPI-Specification
OpenKruise,,https://openkruise.io/,logos/0aa71c298993f8659e9012db27251e40f6cbdbb37bc80427cda14e0a562d7730.png,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,"OpenKruise ist eine Open-Source-Anwendungssuite, die Kubernetes um Funktionen für das Management von großen Anwendungen erweitert. Als ein Projekt der Cloud Native Computing Foundation (CNCF) bietet OpenKruise Funktionen für die Automatisierung von Deployment, Upgrades und Betrieb von Anwendungen. ",,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2019-06-17,2019-06-17,2025-07-22,,,,,,,,2025-11-11,https://github.com/openkruise/kruise
OpenShift Origin (OKD),,http://www.openshift.org/,https://www.okd.io/images/okd-panda-flat.svg,,,,,graduated,"orchestrierung,container",,,"OpenShift ist eine Kubernetes-basierte Plattform von Red Hat für die Entwicklung und Bereitstellung von Cloud-nativen Anwendungen, die eine einheitliche Basis für Hybrid-Cloud-, Multi-Cloud- und Edge-Umgebungen bietet und den gesamten Lebenszyklus von Anwendunen unterstützt. OKD ist die Community Version von OpenShift welche 2018 abgeleitet wurde.",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2015-06-19,2015-06-19,2025-09-23,,,,,,,,2025-11-11,https://okd.io/docs/documentation/
PHP,,https://www.php.net/,https://commons.wikimedia.org/wiki/Special:FilePath/PHP-logo.svg,,,,,graduated,"programmierung,sprache",,,PHP dient der serverseitigen Entwicklung von dynamischen Webseiten und Anwendungen.,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1995-06-08,1995-06-08,2025-09-25,,,,,,,,2025-11-11,https://www.php.net/docs.php
Piveau,,https://www.piveau.de/,logos/3a6d1663ff587d9b0482d9410793ec2851c1098ff19f4157ef937a9a14c81065.png,,,,,graduated,"aggregation,datennutzung,bereitstellung,erfassung,datenkonvertierung",,,"Piveau ist ein Datenmanagement Werkzeug für die Verarbeitungskette von der Erfassung, Aggregation, Bereitstellung bis zur Nutzung der Daten.",,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2023-04-28,2023-04-28,2025-09-25,,,,,,,,2025-11-11,https://interoperable-europe.ec.europa.eu/collection/open-data/solution/piveau
Portainer,,https://www.portainer.io/,https://raw.githubusercontent.com/portainer/portainer/develop/app/assets/images/logo_alt.svg,,,,,graduated,orchestrierung,,,"Portainer ist eine benutzerfreundliche, webbasierte Management-Plattform für Container, die es ermöglicht, Docker- und Kubernetes-Umgebungen mit einer einfachen Oberfläche zu verwalten und zu überwachen. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2016-06-02,2016-06-02,2025-09-25,,,,,,,,2025-11-11,https://github.com/portainer
PostgreSQL,,https://www.postgresql.org/,https://commons.wikimedia.org/wiki/Special:FilePath/Postgresql_elephant.svg,,,,,graduated,"open-source,datenbank,sql,relational",,,"PostgreSQL ist ein objektrelationales Datenbankmanagementsystem (ORDBMS), das für seine Einhaltung von SQL-Standards, seine Erweiterbarkeit und seine Zuverlässigkeit bekannt ist. Es wird häufig in Anwendungen eingesetzt, die komplexe Transaktionen und große Datenmengen verarbeiten.",,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,1989-06-01,1996-07-08,2025-08-14,,,,,,,,,
PromptFlow,,https://microsoft.github.io/promptflow/,https://raw.githubusercontent.com/microsoft/promptflow/main/docs/media/logo/promptflow_logo_light.png,,,,,graduated,"entwicklung,verarbeitung",,,PromptFlow ist ein Framework von Entwicklungswerkzeugen für KI-Anwendungen von der Ideenfindung bis zum Monitoring. ,,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2023-08-09,2023-08-09,2025-01-09,,,,,,,,2025-11-11,https://github.com/microsoft/promptflow
